nohhold,nomem,weeknr,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,situat1,situat2,situat3,situat4,situat5,situat6,situat7,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,locus01,locus02,locus03,locus04,locus05,locus06,locus07,locus08,locus09,locus10,locus11,locus12,locus13,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x
274,2,201115,3,2,4,3,2, , ,1,2,2,3,2, ,3,2,2, ,3,2,4,7,7,7,4,7,7,1,7,7,-7,7,7,7,7,4,4,4,4,4,4,6,7,7,1,7,1,1,3, , , , , , , , , , , , ,6,2,4,4,2,1,2,1,1,-9,-9,4,80,0,0,0,90,1,1,3,1,3,1,1,12,2,-9,3,4,38,38,1,6,4,2,1,1,3,5,3,5,1,4,4,3,5,3,7,7,5,2,4,7,4,5,5, , , , , , , , , , , , , , , ,2,5,2,4,2,1,3,3,1,5,6,3,4,5,3,5,1,1
283,1,201115,4,2,4,4,3, , ,2,1,2,4,1,2,2,3,1,7,3,3,5,4,3,3,6,2,6,3,5,4,1,3,3,3,4,5,4,2,5,4,4,5,5,3,2,5,4,3,3,4,5,3,4,5,4,5,4,3,4,5,5,5,2,2,3,2,1,4,1,2,2,-9,3,90,90,60,0,100,1,1,3,1,4,1,1,10,2,8,6,4,43,25,2,6,3,2,3,1,4,4,2,4,1,3,2,2,4,5,6,4,5,4,3,5,4,4,2,6,6,5,6,4,2,3,4,4,4,4,2,3,3,4, , , , , , , , , , , , , , , , , , 
283,2,201115,4,2,4,4,2, , ,2,2,2,3,2, ,2,1,1,-9,2,1,5,6,6,6,4,2,4,3,4,4,1,5,6,5,4,4,1,1,1,4,2,5,4,6,1,4,1,1,-7,1,1,2,1,4,2,4,4,2,4,4,4,5,2,2,3,2,1,4,1,2,-9,-9,4,90,10,5,5,10,1,1,3,1,3,1,1,10,2,-9,6,4,40,30,2,6,4,2,1,1,3,3,2,3,1,3,3,2,4,2,5,4,5,4,5,3,4,2,2,7,7,6,6,4,1,1,5,1,3,5,1,4,1,2, , , , , , , , , , , , , , , , , , 
338,2,201115,2,2,1,3,2, , ,-7,3,2,3,2, ,2,3,2, ,4,-7,7,5,7,7,-7,-7,7,5,7,7,-7,7,7,5,5,4,1,4,2,4,1,1,1,7,1,7,1,1,-7, , , , , , , , , , , , ,4,2,3,5,1,1,2,2, ,1,-9,3,50,0,0,0,0,1,1,5, , , ,3,11,2,-9,4,5,0,0,2,1,3,2,2,1,4,4,2,3,2,5,4,1,2,1,4,6,6,4,6,4,4,4,4, , , , , , , , , , , , , , , ,4,5,1,1,4,4,5,3,4,6,6,4,6,4,4,4,5,4
339,2,201115,2,2,3,2,2, , ,2,3,2,3,2, ,3,1,1,1,1,3,4,-7,7,7,-7,-7,4,3,7,7,-7,7,7,7,4,4,4,5,4,4,3,1,1,6,1,6,1,1,-7, , , , , , , , , , , , ,6,4,1,3,2,1,4,1,2,2,-9,3,75,0,0,0,1,1,1,5,2,3,1,2,11,2,6,5,4,32,20,2,4,3,3,2,3,4,4,2,2,3,4,4,4,5,2,6,6,6,4,4,6,6,6,7, , , , , , , , , , , , , , , ,3,3,5,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4
349,2,201115,4,2,4,4,3, , ,2,1,2,4,2, ,3,1,1,4,1,1,4,7,7,7,5,6,7,1,7,7,-7,3,7,7,7,7,6,2,5,4,5,6,3,1,1,3,1,4,3, , , , , , , , , , , , ,6,1,3,5,1,1,3,2, ,2,-9,4,100,100,100,0,100,1,1,3,1,4,4,1,10,2,9,5,4,32,20,3,3,4,2,4,1,5,5,1,5,1,5,5,5,4,4,6,6,6,1,5,4,3,4,1,7,2,7,6,6,6,1,7,7, , , , , , ,1,3,4,4,3,2,6,5,1,1,5,5,4,5,1,2,1,1
357,1,201115,3,2,5,5,3, , ,2,1,2,4,2, ,2,1,1,3,1,-7,-7,7,4,7,6,6,7,-7,7,7,1,4,7,1,6,5,4,3,6,3,3,6,7,3,7,7,6,1,2,2,2,6,6,6,2,4,5,2,1,1,1,7,1,4,5,1,1,3,1,1,1,-9,3,100,50,0,0,100,1,1,2,1,1,1,2,11,2,9,3,4,0,30,2,2,2,1,1,3,5,5,4,5,1,5,6,1,3,1,5,5,5,7,7,7,1,5,1, , , , , , , , , ,2,5,1,4,4,1, , , , , , , , , , , , , , , , , , 
357,2,201115,4,2,5,5,3, , ,-7,1,2,4,2, ,2,1,1,3,1,1,4,7,7,7,7,6,7,4,7,7,-7,7,7,7,7,4,4,2,4,4,4,2,4,2,1,5,2,4,1, , , , , , , , , , , , ,6,2,2,5,1,2, ,1,2,1,-9,4,50,80,10,0,99,1,1,3,2,5,1,2,10,2,8,5,4,40,24,3,6,3,4,4,3,3,5,1,5,1,3,7,4,4,3,5,7,6,3,7,4,2,7,2,6,7,4,4,4,7,2,2,1, , , , , , ,4,5,1,4,3,1,7,7,1,7,6,5,6,5,1,3,5,1
365,2,201115,3,2,3,2,1,2, ,1,2,2,3,2, ,3,2,1,2,2,-7,-7,3,4,4,-7,-7,3,-7,3,3,-7,-7,5,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,-9, , , , , , , , , , , , ,4,5,1,4,2,1,3,1,2,-9,1,3,95,5,0,0,5,2, , ,2,3,1,2,10,2,-9,3,4,32,20,2,1,3,4,4,2,4,4,2,3,2,4,4,2,5,4,5,4,6,5,3,3,3,4,5, , , , , , , , , , , , , , , ,3,2,3,4,1,1,6,2,3,4,4,3,5,4,4,4,3,3
371,1,201115,4,2,3,3,2, , ,-7,2,2,3,2, ,2,3,2, ,3,-7,3,2,6,2,1,1,5,1,6,1,-7,3,6,6,2,3,3,5,3,4,4,6,7,7,1,7,1,1,-7, , , , , , , , , , , , ,5,2,2,4,1,1,4,1,2,-9,-9,4,66,100,100,25,100,1,1,2,1,3,2,2,11,2,10,7,4,32,28,2,3,2,3,4,1,5,4,3,3,1,4,1,4,2,5,2,6,6,6,6,5,4,5,1, , , , , , , , , , , , , , , ,4,5,1,4,3,1,4,3,6,5,4,2,2,2,5,5,5,5
371,2,201115,4,2,3,4,2, , ,-7,2,2,3,2, ,3,2,1,2,2,7,6,2,6,2,1,1,6,5,5,2,1,6,6,5,3,3,2,5,3,4,2,6,1,1,1,7,1,1,-7, , , , , , , , , , , , ,4,5,1,1,1,1,3,1,1,-9,-9,-9,50,100,100,10,95,1,2,2,2,2,2,2,11,2,10,7,4,32,28,1,1,2,2,4,5,4,1,3,3,1,3,1,4,2,1,5,6,5,7,4,5,2,2,1,7,6,3,7,4,3,2,5,2, , , , , , ,3,3,2,4,3,3,2,2,3,3,3,2,1,4,5,4,3,2
375,1,201115,4,2,4,4,1,2, ,-7,2,2,3,2, ,3,1,1,2,1,5,6,3,7,7,1,1,6,5,7,6,1,6,6,6,4,4,4,4,5,5,4,6,1,7,1,7,1,1,-7, , , , , , , , , , , , ,5,3,3,2,1,1,2,2, ,1,-9,-9,50,75,75,10,100,1,1,3,2,2,1,3,13,2,9,4,5,0,0,1,9,3,3,4,2,5,5,2,3,3,4,4,4,5,5,5,5,6,3,5,5,4,5,6, , , , , , , , , , , , , , , ,4,4,1,4,3,3,5,4,5,4,4,2,2,2,2,2,6,1
375,2,201115,4,2,4,2,2, , ,2,1,2,2,2, ,3,1,1,2,2,7,5,4,6,7,1,1,7,6,6,4,1,6,6,6,5,6,4,5,5,6,5,5,1,1,1,7,5,1,-7, , , , , , , , , , , , ,6,2,3,5,1,1,4,2, ,2,-9,4,50,75,75,10,100,1,1,3,2,4,1,1,13,2,9,4,4,0,0,2,6,5,1,4,2,4,4,1,4,1,4,4,5,5,3,6,6,6,3,4,3,2,2,4, , , , , , , , , , , , , , , ,4,3,2,2,3,3,6,5,5,6,6,2,5,4,1,6,6,4
378,2,201115,3,2,4,3,1,1,2,2,2,2,3,2, ,3,2,2, ,2,4,5,-7,6,-7,-7,5,7,4,6,6,-7,7,7,7,3,7,7,2,6,3,4,5,7,7,1,7,1,1,1, , , , , , , , , , , , ,4,3,1,3,2,1,2,2, ,-9,-9,3,90,90,20,0,100,1,2,3, , , ,3,12,2,8,4,5,0,0,2,1,4,4,4,1,4,4,2,4,2,4,7,1,4,4,5,6,6,3,4,5,5,5,3, , , , , , , , , , , , , , , ,4,5,1,4,4,3,6,5,7,5,6,7,7,7,7,6,7,6
403,1,201115,2,2,3,3,2, , ,-7,4,2,3,2, ,3,2,1,1,2,-7,-7,-7,5,7,-7,-7,3,-7,5,5,-7,-7,6,6,1,3,2,6,2,4,1,1,1,7,1,7,1,1,-7, , , , , , , , , , , , ,5,2,2,4,1,1,2,1,3,2,-9,3,80,0,0,0,25,2, , , , , ,2,12,1,-9,5,5,0,0,2,1,4,3,2,1,2,2,3,4,1,3,1,4,2,4,6,5,5,4,5,5,6,2,2, , , , , , , , , , , , , , , ,3,5,1,2,4,1,3,2,5,3,2,2,2,2,2,2,2,2
423,1,201115,4,2,3,4,3, , ,2,1,2,3,2, ,2,1,1,2,1,-7,-7,4,5,3,2,1,2,-7,7,3,2,2,7,5,4,4,4,3,4,5,2,5,7,3,1,7,2,1,3, , , , , , , , , , , , ,5,2,1,3,1,1,4,2, ,2,-9,3,100,100,50,0,100,1,1,3,2,4,1,2,8,4,9,4,4,40,30,2,6,3,3,5,2,4,4,2,3,1,5,5,4,5,4,5,5,4,3,5,3,3,2,3,6,5,6,6,5,1,4,6,5, , , , , , ,3,2,4,1,2,2,4,4,5,5,5,3,5,4,5,4,3,3
434,1,201115,3,2,2,1,1,2, ,1,5,2,2,2, ,1,-9,2, ,3,1,3,2,2,6,1,1,5,2,3,4,1,2,6,4,4,3,1,4,4,1,2,3,1,1,1,1,1,1,-7, , , , , , , , , , , , ,2,5,1,3,1,1,2,1,1,1,-9,4,80,0,0,0,0,1,1,4,2,5,1,3,12,1,-9,4,5,0,36,2,1,4,2,3,2,4,4,2,4,1,5,1,3,4,3,5,4,3,4,2,7,7,5,7, , , , , , , , , , , , , , , ,3,5,3,4,4,4,5,1,4,5,4,2,3,3,6,3,4,6
461,1,201115,2,2,3,2,2, , ,-7,3,2,3,2, ,2,1,1,2,1,-7,-7,7,7,6,6,6,5,-7,7,7,-7,-7,7,7,7,4,2,5,1,6,2,1,7,7,1,7,1,1,-7, , , , , , , , , , , , ,6,2,2,4,1,1,4,1,2,-9,-9,4,80,75,0,0,85,2, , , , , ,3,7,1,7,5,4,36,32,1,8,5,1,5,1,5,5,1,5,1,5,5,2,3,1,5,2,2,3,4,4,1,1,3, , , , , , , , , , , , , , , ,1,4,3,4,2,2,4,5,2,5,4,2,6,5,1,4,5,3
523,1,201115,3,2,3,4,3, , ,2,1,2,4,2, ,3,1,1,1,1,3,6,7,7,7,3,2,6,3,7,7,3,7,7,5,6,3,4,5,4,3,3,3,6,4,2,4,5,2,2, , , , , , , , , , , , ,5,2,3,4,2,1,2,2, ,1,3,3,80,10,0,0,10,1,2,3,2,3,1,2,8,4,8,5,4,40,20,2,4,5,1,4,2,5,5,1,2,1,5,7,4,5,5,5,6,6,3,6,5,4,3,6, , , , , , , , , , , , , , , ,4,5,3,1,4,1,2,3,4,2,3,2,3,3,5,2,5,4
562,1,201115,4,2,4,3,2, , ,-7,2,2,3,2, ,2,2,2, ,3,1,2,-7,6,7,-7,3,6,1,7,6,-7,6,7,5,6,4,4,4,4,4,4,6,5,3,5,6,2,4,1, , , , , , , , , , , , ,5,2,2,5,2,1,4,1,2,-9,-9,4,80,95,40,0,95,1,1,3,1,3,1,2,13,2,-9,7,5,0,0,2,2,5,1,4,1,5,5,1,3,2,5,6,5,2,2,6,4,3,5,3,4,4,5,1, , , , , , , , , , , , , , , ,4,5,4,4,3,2,5,5,3,2,5,4,6,5,2,4,3,5
571,1,201115,3,2,4,4,2, , ,2,1,2,3,1,4,3,1,2, ,2,5,7,6,5,6,2,3,5,5,7,5,2,4,6,5,5,5,5,2,4,5,4,5,5,3,2,5,2,4,-7, , , , , , , , , , , , ,5,2,4,4,1,1,2,2, ,-9,1,3,85,90,60,1,100,1,2,3,1,5,1,2,10,2,8,5,1,38,20,3,3,3,4,3,1,4,4,2,4,2,4,5,5,6,6,6,6,5,3,4,2,5,2,2, , , , , , , , , , , , , , , ,3,1,3,2,2,1,5,5,3,3,4,3,5,5,3,3,2,3
601,1,201115,4,2,4,5,3, , ,-7,1,2,4,1,5,3,1,1,4,1,-7,-7,6,6,5,6,5,6,-7,6,6,4,-7,6,5,6,5,6,3,5,5,5,6,5,3,3,5,3,3,3, , , , , , , , , , , , ,6,2,3,4,1,1,3,1,2,2,-9,4,100,100,50,2,100,2, , ,1,4,1,2,7,2,8,6,4,38,20,4,8,4,2,3,3,3,3,2,4,1,4,4,5,5,4,5,5,4,3,4,4,2,3,2,6,6,4,5,6,3,3,5,7, , , , , , ,1,4,3,2,2,2,5,4,3,4,5,5,5,4,3,2,4,2
628,2,201115,3,2,3,4,2, , ,2,4,2,3,2, ,2,1,1,2,3,6,3,-7,6,7,-7,2,5,6,7,5,2,3,7,4,2,4,5,3,5,6,4,6,6,4,4,5,5,4,1, , , , , , , , , , , , ,5,4,4,3,1,1,3,1,1,-9,1,-9,50,5,90,50,90,1,1,3,1,3,1,1,13,2,8,4,5,0,14,2,4,5,4,5,4,5,4,2,3,2,5,7,4,6,3,6,7,7,5,4,6,6,4,5, , , , , , , , , , , , , , , ,4,5,2,4,1,1,4,4,6,7,6,1,4,6,4,4,6,6
633,1,201115,5,2,5,4,3, , ,2,1,2,4,2, ,3,1,1,4,1,5,6,6,6,6,4,6,7,6,6,5,4,5,6,6,5,6,4,3,4,5,4,5,6,2,4,5,3,3,4, , , , , , , , , , , , ,6,2,4,3,1,1,4,2, ,2,-9,4,95,75,50,10,99,1,3,2,1,5,1,2,8,5,11,6,4,45,25,4,6,2,3,4,2,4,4,2,4,1,4,5,5,6,4,6,6,5,2,4,4,4,3,2,7,7,6,6,6,5,4,7,4, , , , , , ,1,2,3,1,1,1,4,5,3,3,5,4,5,4,3,3,3,3
633,2,201115,5,2,4,4,2, , ,-7,3,2,3,2, ,3,1,1,-9,1,4,7,4,4,7,4,4,4,4,7,4,1,7,7,4,4,4,4,4,4,4,4,4,7,1,1,7,1,4,1, , , , , , , , , , , , ,7,1,4,1,1,1,4,2, ,2,-9,2,100,100,50,0,100,1,1,3,2,1,1,1,8,4,-9,6,4,40,20,1,9,3,3,3,2,3,4,2,3,3,3,1,1,1,1,5,5,4,4,7,4,1,4,1,6,6,6,6,4,6,4,6,2, , , , , , ,4,4,1,2,1,1,1,1,5,4,5,4,5,4,4,4,4,4
